"","match_id","team.name","outcome","percenthighpass","numsubs","percentfirsttime","percenthead","percentshotassist","percentpassdeflect","percentpassmiscom","numthroughballs","standing_diving"
"18",3835327,"Norway Women's","Loss",0.24390243902439,5,0.166389351081531,0.499168053244592,2,0,0,1,11
"19",3835328,"Austria Women's","Win",0.22787610619469,4,0.128700128700129,0.386100386100386,10,0.0643500643500644,0,6,2
"20",3835328,"Northern Ireland","Loss",0.280487804878049,5,0.0784929356357928,1.64835164835165,3,0,0,0,8
"21",3835329,"Denmark Women's","Win",0.179661016949153,5,0.2465483234714,0.14792899408284,14,0,0,0,0
"22",3835329,"WNT Finland","Loss",0.204255319148936,2,0.0587889476778366,0.705467372134039,8,0.117577895355673,0.0587889476778366,1,3
"23",3835330,"Germany Women's","Win",0.363344051446945,5,0.0772200772200772,1.08108108108108,4,0,0,1,-2
"24",3835330,"Spain Women's","Loss",0.110192837465565,4,0.169563374311149,0.381517592200085,13,0.0847816871555744,0.0423908435777872,3,2
"25",3835331,"Sweden Women's","Win",0.221206581352834,3,0.267522739432852,0.214018191546281,11,0,0,6,1
"26",3835331,"Switzerland Women's","Loss",0.215277777777778,4,0.0626959247648903,0.564263322884012,2,0,0,0,3
"27",3835332,"Netherlands Women's","Win",0.225325884543762,3,0.21505376344086,0.483870967741935,11,0.0537634408602151,0.0537634408602151,3,7
"28",3835332,"Portugal Women's","Loss",0.25,4,0.158353127474268,0.791765637371338,3,0,0.0791765637371338,0,-1
"29",3835333,"Belgium Women's","Loss",0.159144893111639,5,0.063653723742839,0.63653723742839,0,0,0.063653723742839,4,0
"30",3835333,"France Women's","Win",0.123809523809524,5,0.469043151969981,0.140712945590994,17,0.140712945590994,0,4,1
"31",3835334,"Iceland Women's","Win",0.420074349442379,5,0.278810408921933,2.04460966542751,5,0,0,0,5
"32",3835334,"Italy Women's","Loss",0.238003838771593,4,0.491266375545852,0.764192139737991,15,0.0545851528384279,0,1,-1
"33",3835335,"England Women's","Win",0.15668202764977,5,0.476190476190476,0.0952380952380952,19,0,0,3,0
"34",3835335,"Northern Ireland","Loss",0.430851063829787,5,0.232828870779977,1.51338766006985,3,0.116414435389988,0,2,-2
"35",3835336,"Austria Women's","Win",0.302030456852792,2,0.378548895899054,1.00946372239748,12,0,0.0630914826498423,2,2
"36",3835336,"Norway Women's","Loss",0.172529313232831,3,0.29126213592233,1.2621359223301,5,0.0970873786407767,0.0970873786407767,1,3
"37",3835337,"Denmark Women's","Loss",0.394904458598726,4,0.36563071297989,1.0054844606947,6,0,0,0,5
"38",3835337,"Spain Women's","Win",0.125480153649168,4,0.278662420382166,0.238853503184713,9,0,0,0,2
"39",3835338,"Germany Women's","Win",0.188135593220339,5,0.33003300330033,0.424328147100424,19,0.0471475719000471,0,0,0
"40",3835338,"WNT Finland","Loss",0.255681818181818,5,0,1.15858073859522,1,0.0724112961622013,0.0724112961622013,4,8
"41",3835339,"Netherlands Women's","Win",0.172043010752688,5,0.339943342776204,0.56657223796034,12,0.056657223796034,0,3,3
"42",3835339,"Switzerland Women's","Loss",0.190274841437632,5,0.111049416990561,0.222098833981122,8,0.111049416990561,0,0,5
"43",3835340,"Portugal Women's","Loss",0.19578313253012,5,0.0733675715333822,0.733675715333822,6,0,0,1,7
"44",3835340,"Sweden Women's","Win",0.235602094240838,5,0.508720930232558,0.363372093023256,8,0,0,2,2
"45",3835341,"Belgium Women's","Win",0.207627118644068,4,0.174317257408483,1.27832655432888,6,0,0,1,6
"46",3835341,"Italy Women's","Loss",0.173507462686567,5,0.370174510840825,0.264410364886304,11,0,0,1,1
"47",3835342,"France Women's","Win",0.148007590132827,5,0.330760749724366,0.551267916207277,11,0,0.0551267916207277,1,-2
"48",3835342,"Iceland Women's","Loss",0.353658536585366,5,0.0784313725490196,0.549019607843137,6,0,0,1,2
"49",3844384,"England Women's","Win",0.270566727605119,6,0.252143217347453,0.655572365103379,4,0.0504286434694907,0,1,4
"50",3844384,"Spain Women's","Loss",0.185552407932011,4,0.211237853823405,0.844951415293621,12,0,0,3,1
"51",3844385,"Austria Women's","Loss",0.365217391304348,3,0.37037037037037,0.296296296296296,4,0,0,2,3
"52",3844385,"Germany Women's","Win",0.21259842519685,5,0.441501103752759,0.662251655629139,16,0.0551876379690949,0,1,1
"53",3844386,"Belgium Women's","Loss",0.284722222222222,2,0.0645161290322581,1.16129032258065,3,0.193548387096774,0,1,6
"54",3844386,"Sweden Women's","Win",0.228033472803347,1,0.909642207398423,0.7883565797453,20,0,0,1,0
"55",3844387,"France Women's","Win",0.183870967741935,5,0.434782608695652,0.652173913043478,28,0,0,3,1
"56",3844387,"Netherlands Women's","Loss",0.203098106712565,5,0.184842883548983,0.693160813308688,7,0,0,0,2
"57",3845506,"England Women's","Win",0.236514522821577,5,0.347222222222222,0.636574074074074,12,0,0,0,-1
"58",3845506,"Sweden Women's","Loss",0.304582210242588,5,0.145454545454545,0.436363636363636,10,0,0,0,0
"59",3845507,"France Women's","Loss",0.220779220779221,3,0.182815356489945,0.426569165143205,8,0,0.0609384521633151,3,1
"60",3845507,"Germany Women's","Win",0.191441441441441,4,0.178677784395473,0.476474091721263,3,0,0,0,3
"61",3847567,"England Women's","Win",0.266666666666667,6,0.380228136882129,1.03204780010864,8,0,0.0543183052688756,1,3
"62",3847567,"Germany Women's","Loss",0.256880733944954,6,0.272182906913446,0.762112139357648,10,0.0544365813826892,0.217746325530757,1,7
